Name,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1997-98 New Jersey Nets,242.4,37.3,84.5,.441,3.8,11.4,.331,33.5,73.1,.458,21.3,28.7,.744,16.4,26.1,42.5,20.5,9.5,3.8,14.4,23.4,99.6
1996-97 New Jersey Nets,241.2,36.5,86.5,.422,5.9,16.7,.353,30.6,69.8,.439,18.3,24.8,.740,17.2,29.0,46.2,21.0,8.3,5.9,15.7,22.7,97.2
1995-96 New Jersey Nets,242.7,35.1,82.3,.427,3.0,9.1,.335,32.1,73.2,.438,20.4,27.4,.745,16.5,30.5,47.0,21.4,7.6,7.0,16.8,22.9,93.7
1994-95 New Jersey Nets,242.4,35.8,82.2,.436,5.0,15.8,.319,30.8,66.4,.464,21.3,28.1,.759,14.8,31.3,46.1,23.0,6.6,6.7,15.9,22.5,98.1
1993-94 New Jersey Nets,241.8,38.6,86.8,.445,2.7,8.3,.327,35.9,78.4,.458,23.2,30.4,.762,15.9,31.2,47.0,23.2,8.5,7.0,14.6,20.6,103.2
1992-93 New Jersey Nets,241.2,39.9,86.4,.462,1.9,6.0,.318,38.0,80.4,.473,21.1,27.5,.767,15.7,30.6,46.3,22.8,8.5,6.4,16.5,23.1,102.8
1991-92 New Jersey Nets,241.2,42.4,92.4,.458,2.7,8.2,.334,39.6,84.3,.470,17.9,24.5,.732,18.4,29.2,47.6,23.6,9.0,7.5,17.0,22.4,105.4
1990-91 New Jersey Nets,241.8,40.4,91.0,.444,2.0,7.1,.275,38.4,83.8,.458,20.2,27.4,.739,17.1,28.6,45.7,21.7,9.1,7.3,17.4,23.8,102.9
1989-90 New Jersey Nets,240.3,38.5,90.4,.426,1.7,6.2,.277,36.8,84.3,.437,21.4,28.7,.746,16.6,28.3,45.0,18.0,9.4,5.9,16.6,23.8,100.1
1988-89 New Jersey Nets,241.5,40.6,88.1,.461,2.3,6.9,.329,38.4,81.2,.473,20.2,27.6,.731,14.7,29.5,44.2,21.9,9.4,5.3,17.7,24.0,103.7
1987-88 New Jersey Nets,241.2,39.1,83.6,.468,1.7,5.5,.301,37.5,78.1,.480,20.5,28.1,.729,13.1,27.6,40.7,21.9,8.9,4.7,18.3,24.9,100.4
1986-87 New Jersey Nets,242.1,41.1,86.4,.476,1.8,5.5,.323,39.4,80.9,.487,24.4,31.8,.767,14.3,29.4,43.6,24.3,7.8,4.8,19.7,28.7,108.5
1985-86 New Jersey Nets,241.5,43.3,89.0,.486,0.5,2.6,.201,42.7,86.4,.495,22.1,29.2,.755,14.4,30.3,44.7,26.0,9.1,4.2,19.2,26.0,109.1
1984-85 New Jersey Nets,240.9,44.5,90.8,.490,0.6,2.7,.232,43.8,88.1,.498,19.9,27.3,.729,15.0,28.4,43.4,26.4,9.4,5.1,16.5,24.5,109.5
1983-84 New Jersey Nets,241.5,44.1,88.5,.498,0.6,2.8,.211,43.5,85.7,.507,21.2,30.3,.700,14.9,28.2,43.1,26.2,9.9,6.1,19.6,27.4,110.0
1982-83 New Jersey Nets,240.3,42.8,87.1,.492,0.4,1.8,.201,42.4,85.3,.498,19.8,28.1,.705,15.4,29.6,45.0,26.1,11.1,7.2,22.8,26.4,105.8
1981-82 New Jersey Nets,241.2,42.7,88.1,.484,0.4,1.8,.205,42.3,86.4,.490,20.9,28.7,.728,14.6,28.3,42.9,25.6,11.2,5.9,20.1,28.0,106.7
1980-81 New Jersey Nets,241.5,42.4,89.2,.475,0.4,1.7,.246,42.0,87.5,.480,21.7,28.9,.751,13.3,29.0,42.3,25.2,9.1,5.6,20.3,26.9,106.9
1979-80 New Jersey Nets,241.5,42.1,91.5,.461,1.0,3.6,.285,41.1,87.9,.468,23.0,29.3,.782,15.0,30.9,45.9,25.5,10.6,7.1,20.8,26.6,108.3
2011-12 New Jersey Nets,240.8,34.3,80.6,.425,7.7,22.4,.342,26.6,58.2,.457,16.9,21.7,.777,11.9,28.5,40.3,19.9,7.5,3.9,15.1,19.2,93.1
2010-11 New Jersey Nets,244.0,35.6,81.0,.440,5.6,16.3,.343,30.0,64.6,.464,17.4,22.9,.759,11.1,29.8,40.8,21.0,5.6,4.7,14.0,22.0,94.2
2009-10 New Jersey Nets,241.2,34.3,79.9,.429,4.6,14.5,.318,29.7,65.5,.454,19.2,24.6,.780,10.9,28.8,39.7,18.8,7.0,4.8,14.4,20.0,92.4
2008-09 New Jersey Nets,241.8,35.7,79.7,.448,8.0,21.2,.376,27.7,58.5,.473,18.8,24.1,.779,10.4,29.5,39.8,20.0,6.8,4.8,13.1,22.4,98.1
2007-08 New Jersey Nets,241.8,34.8,78.7,.443,6.1,17.4,.348,28.8,61.2,.470,20.1,27.3,.736,11.1,30.7,41.9,23.5,6.4,4.8,15.0,22.6,95.8
2006-07 New Jersey Nets,242.4,35.5,77.8,.457,7.4,20.4,.363,28.1,57.4,.490,19.1,26.3,.727,10.0,30.8,40.8,23.9,6.1,3.3,14.8,22.8,97.6
2005-06 New Jersey Nets,241.2,33.9,77.0,.440,5.8,17.6,.330,28.1,59.4,.472,20.2,26.7,.758,10.0,31.0,41.0,23.0,6.8,3.4,13.6,23.2,93.8
2004-05 New Jersey Nets,242.7,33.6,78.3,.429,5.3,14.7,.362,28.3,63.6,.444,19.0,24.9,.763,10.4,29.1,39.5,21.6,7.9,3.8,14.2,24.2,91.4
2003-04 New Jersey Nets,240.3,34.3,77.7,.441,4.6,13.7,.336,29.7,64.0,.464,17.0,22.6,.753,10.5,30.2,40.7,24.5,8.6,3.9,14.7,21.0,90.3
2002-03 New Jersey Nets,240.9,35.4,80.3,.441,4.2,12.7,.332,31.2,67.6,.462,20.3,26.8,.757,12.1,30.8,42.9,23.0,8.7,4.6,14.8,21.6,95.4
2001-02 New Jersey Nets,241.8,37.1,83.1,.446,4.9,14.6,.338,32.2,68.6,.469,17.1,23.3,.735,12.7,30.7,43.3,24.3,8.7,6.0,14.5,21.1,96.2
2000-01 New Jersey Nets,240.6,33.9,79.9,.425,4.4,13.2,.333,29.5,66.7,.443,19.9,26.2,.759,11.1,28.5,39.6,19.5,7.9,5.0,14.7,24.2,92.1
1999-00 New Jersey Nets,241.8,36.3,83.9,.433,5.8,16.8,.347,30.5,67.2,.454,19.5,24.9,.784,12.7,28.2,40.9,20.6,8.8,4.8,13.6,23.3,98.0
1998-99 New Jersey Nets,241.0,33.8,83.2,.406,4.5,13.6,.331,29.3,69.6,.421,19.2,25.0,.769,14.3,28.7,43.0,18.5,9.8,5.5,15.0,22.7,91.4
1997-98 New Jersey Nets,242.4,37.3,84.5,.441,3.8,11.4,.331,33.5,73.1,.458,21.3,28.7,.744,16.4,26.1,42.5,20.5,9.5,3.8,14.4,23.4,99.6
1996-97 New Jersey Nets,241.2,36.5,86.5,.422,5.9,16.7,.353,30.6,69.8,.439,18.3,24.8,.740,17.2,29.0,46.2,21.0,8.3,5.9,15.7,22.7,97.2
1995-96 New Jersey Nets,242.7,35.1,82.3,.427,3.0,9.1,.335,32.1,73.2,.438,20.4,27.4,.745,16.5,30.5,47.0,21.4,7.6,7.0,16.8,22.9,93.7
1994-95 New Jersey Nets,242.4,35.8,82.2,.436,5.0,15.8,.319,30.8,66.4,.464,21.3,28.1,.759,14.8,31.3,46.1,23.0,6.6,6.7,15.9,22.5,98.1
1993-94 New Jersey Nets,241.8,38.6,86.8,.445,2.7,8.3,.327,35.9,78.4,.458,23.2,30.4,.762,15.9,31.2,47.0,23.2,8.5,7.0,14.6,20.6,103.2
1992-93 New Jersey Nets,241.2,39.9,86.4,.462,1.9,6.0,.318,38.0,80.4,.473,21.1,27.5,.767,15.7,30.6,46.3,22.8,8.5,6.4,16.5,23.1,102.8
1991-92 New Jersey Nets,241.2,42.4,92.4,.458,2.7,8.2,.334,39.6,84.3,.470,17.9,24.5,.732,18.4,29.2,47.6,23.6,9.0,7.5,17.0,22.4,105.4
1990-91 New Jersey Nets,241.8,40.4,91.0,.444,2.0,7.1,.275,38.4,83.8,.458,20.2,27.4,.739,17.1,28.6,45.7,21.7,9.1,7.3,17.4,23.8,102.9
1989-90 New Jersey Nets,240.3,38.5,90.4,.426,1.7,6.2,.277,36.8,84.3,.437,21.4,28.7,.746,16.6,28.3,45.0,18.0,9.4,5.9,16.6,23.8,100.1
1988-89 New Jersey Nets,241.5,40.6,88.1,.461,2.3,6.9,.329,38.4,81.2,.473,20.2,27.6,.731,14.7,29.5,44.2,21.9,9.4,5.3,17.7,24.0,103.7
1987-88 New Jersey Nets,241.2,39.1,83.6,.468,1.7,5.5,.301,37.5,78.1,.480,20.5,28.1,.729,13.1,27.6,40.7,21.9,8.9,4.7,18.3,24.9,100.4
1986-87 New Jersey Nets,242.1,41.1,86.4,.476,1.8,5.5,.323,39.4,80.9,.487,24.4,31.8,.767,14.3,29.4,43.6,24.3,7.8,4.8,19.7,28.7,108.5
1985-86 New Jersey Nets,241.5,43.3,89.0,.486,0.5,2.6,.201,42.7,86.4,.495,22.1,29.2,.755,14.4,30.3,44.7,26.0,9.1,4.2,19.2,26.0,109.1
1984-85 New Jersey Nets,240.9,44.5,90.8,.490,0.6,2.7,.232,43.8,88.1,.498,19.9,27.3,.729,15.0,28.4,43.4,26.4,9.4,5.1,16.5,24.5,109.5
1983-84 New Jersey Nets,241.5,44.1,88.5,.498,0.6,2.8,.211,43.5,85.7,.507,21.2,30.3,.700,14.9,28.2,43.1,26.2,9.9,6.1,19.6,27.4,110.0
1982-83 New Jersey Nets,240.3,42.8,87.1,.492,0.4,1.8,.201,42.4,85.3,.498,19.8,28.1,.705,15.4,29.6,45.0,26.1,11.1,7.2,22.8,26.4,105.8
1981-82 New Jersey Nets,241.2,42.7,88.1,.484,0.4,1.8,.205,42.3,86.4,.490,20.9,28.7,.728,14.6,28.3,42.9,25.6,11.2,5.9,20.1,28.0,106.7
1980-81 New Jersey Nets,241.5,42.4,89.2,.475,0.4,1.7,.246,42.0,87.5,.480,21.7,28.9,.751,13.3,29.0,42.3,25.2,9.1,5.6,20.3,26.9,106.9
1979-80 New Jersey Nets,241.5,42.1,91.5,.461,1.0,3.6,.285,41.1,87.9,.468,23.0,29.3,.782,15.0,30.9,45.9,25.5,10.6,7.1,20.8,26.6,108.3
